friendly_name,cdc_name,iso3,note
tokelau,Tokelau (New Zealand),TKL,override
tonga,Tonga,TON,override
trinidad-and-tobago,Trinidad and Tobago,TTO,geojson
tunisia,Tunisia,TUN,geojson
turkey,Türkiye (Turkey),TUR,geojson
turkmenistan,Turkmenistan,TKM,geojson
turks-and-caicos,Turks and Caicos Islands (U.K.),TCA,override
tuvalu,Tuvalu,TUV,override
uganda,Uganda,UGA,geojson
ukraine,Ukraine,UKR,geojson
united-arab-emirates,United Arab Emirates,ARE,geojson
united-kingdom,"United Kingdom (including Channel Islands, Isle of Man, Ascension Island & Tristan Da Cunha Archipelago)",GBR,geojson
united-states,United States of America,USA,geojson
uruguay,Uruguay,URY,geojson
usvirgin-islands,"Virgin Islands, U.S.",VIR,override
uzbekistan,Uzbekistan,UZB,geojson
vanuatu,Vanuatu,VUT,geojson
venezuela,Venezuela,VEN,geojson
vietnam,Vietnam,VNM,geojson
wake-island,"Wake Island, U.S.",UMI,override
yemen,Yemen,YEM,geojson
zambia,Zambia,ZMB,geojson
zimbabwe,Zimbabwe,ZWE,geojson
